Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
11.085,21,1,15.6,0,11.3,21,3.9,37.7,0,3,1399,10,0.48,49.98,8
14.0709,16,7,15.5,2,14.4,24,3.8,28.2,48,3,536,9,7.73,942.74,6
10.53,5,7,15.8,0,8.4,23,3.2,47.6,0,3,976,8,0.47,19.25,11
13.81,19,10,16.9,2,12.5,28,3.9,45.9,0,3,602,9,0.21,26.85,13
13.17416,14,7,16.0,0,16.8,22,3.6,39.9,64,3,1051,8,9.53,970.12,7
9.44,16,7,15.7,1,12.9,19,3.6,49.5,0,3,620,9,0.66,70.89,10
12.35,16,4,15.3,3,11.8,24,3.6,34,0,3,1074,7,1.63,120.64,6
10.395,24,13,16.1,5,11.7,18,4.1,41.1,1,4,265,11,1.27,107.16,7
11.84,22,4,15.6,3,13.1,11,3.7,27.2,0,3,762,8,0.36,18.46,2
12.92,2,8,16.2,2,10.8,13,3.5,17.9,0,3,1037,10,1.63,200.58,14
12.3425,5,2,17.7,5,16.2,22,3.7,40,1,4,764,11,7.09,609.15,15
14.68,12,5,16.3,3,14.7,20,3.6,38.3,0,4,1328,11,1.15,44.59,14
12.566,3,5,15.7,5,15,28,3.1,33.9,124,3,689,9,3.15,285.84,13
10.755,16,10,15.4,1,5.7,21,3.8,32.2,1,2,929,7,2.16,212.67,6
9.34,16,8,16.1,2,12.9,18,3.6,32.8,6,3,771,9,4.68,437.88,14
11.87666,5,5,15.3,2,10,22,3.5,61,1,1,459,6,1.67,264.47,4
9.78,12,11,16.1,1,13,14,3.9,39.8,1,3,1077,9,2.34,230.8,1
15.45666,16,3,15.9,0,11.3,32,4,51.1,0,3,822,8,0.53,62.65,12
12.64333,19,11,16.2,1,13.2,17,3.7,35.2,2,3,670,9,4.70,293.83,9
12.01,24,14,15.0,0,14.1,17,3.9,33.6,0,3,591,7,1.06,96.21,13
12.5,16,4,16.0,2,12.9,23,4,35.8,0,2,873,6,2.04,43.19,12
13.65,13,2,17.2,3,16.5,20,3.9,30.3,70,3,851,8,4.61,280.33,13
10.89333,21,1,16.0,0,12,17,3.8,34,1,3,629,9,1.67,187.79,8
13.44571,23,2,16.4,3,14.6,18,3.9,34.3,49,4,452,10,3.94,373.95,10
11.97,3,10,15.6,2,12.9,25,3.3,36.8,0,3,821,8,2.47,225.95,13
12.738,11,2,17.3,5,18.3,24,3.9,40.1,32,3,1234,7,12.42,291.33,4
10.22111,5,13,15.9,2,14.2,17,3.5,7.3,1,3,382,9,8.56,810.41,11
11.97,19,13,15.5,5,13.1,27,3.9,28.1,88,3,1214,8,4.26,302.12,13
12.99333,14,2,15.7,2,11.5,21,3.7,38.3,5,3,603,10,2.29,137.35,1
12.8275,7,1,17.6,6,15.2,18,3.1,31.8,148,4,530,9,6.37,527.87,11
10.78,24,13,15.5,0,11.3,20,4.1,39.7,0,2,630,7,0.82,60.1,13
14.53333,16,4,14.3,0,8.7,14,3.7,47.2,0,2,587,8,2.60,358.45,6
12.12,2,14,15.6,2,11.9,12,3.7,30.9,0,3,489,10,0.55,80.63,9
12.29,12,11,15.6,1,10.2,19,3.6,42.6,0,3,940,9,0.89,62.39,1
14.19,21,14,16.0,2,11.7,21,3.8,45.3,0,4,946,11,0.47,30,8
12.21,12,10,15.2,2,12.4,22,3.7,30.3,0,3,592,8,0.23,17.05,9
11.4875,7,11,16.2,1,12.8,23,3.8,21.5,1,3,190,8,6.06,621.5,15
10.49363,13,13,15.6,3,11.3,23,3.6,35,72,3,1011,8,11.87,778.5,2
11.54666,16,5,15.5,2,9.8,25,3.4,33.2,1,3,753,9,1.70,110.18,10
