X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
14,5,15.2,5,12.2,31,3.9,24.8,6,2,1141,7,5.25,393.98,9
16,13,16.1,4,15.6,28,4,21.2,0,3,621,8,1.51,106.32,1
18,11,16.0,0,10.9,21,3.9,31.1,9,4,1414,9,4.63,423.85,13
21,2,16.7,3,13.6,21,3.8,35.1,1,3,642,10,7.23,619.17,11
12,5,15.0,0,12.3,19,3.7,40.6,1,2,547,8,2.29,281.92,10
23,13,16.0,0,13.7,20,3.8,36.3,0,3,750,8,1.29,114.08,7
13,4,15.3,4,9.3,21,4,43.5,1,3,585,9,2.10,110.93,13
13,14,15.0,0,8.3,18,3,33.9,27,4,1457,10,4.82,226.93,7
2,2,17.7,4,14.8,21,3.5,55.1,0,3,472,11,3.52,283.26,9
24,7,15.5,1,13.7,24,3.4,34.2,2,3,700,9,1.32,200.44,13
23,13,15.7,4,10.7,25,3.9,32.4,3,3,824,9,6.40,621.47,7
8,7,14.3,2,9.7,16,3.7,35.8,0,3,752,8,1.57,145.36,10
5,7,15.5,1,8.9,25,3.9,23,1,3,986,9,2.81,272.34,15
16,4,15.4,1,11.7,16,3.6,47.6,1,4,597,9,3.06,512.19,9
23,5,15.9,0,9.9,18,3.7,28.4,1,2,1149,7,2.59,274.78,10
12,14,16.4,2,12.1,24,3.8,30.7,1,3,621,7,2.59,250.39,5
24,3,16.1,4,11.7,25,3.9,32.7,1,2,381,7,1.25,152.84,13
16,5,15.0,0,8.9,19,3.4,34.7,1,3,477,7,1.50,183,12
7,1,15.3,0,11.4,18,3.7,29.8,0,3,200,9,0.40,26.22,15
16,5,16.2,2,12.1,19,4.1,39.6,0,3,1236,7,0.82,64.45,3
21,7,14.9,4,12.4,26,3.9,38.9,0,3,207,10,2.80,45.28,15
5,2,17.1,4,15.1,28,4.2,23.6,1,4,458,11,5.85,490.48,11
21,7,15.5,1,14.1,11,3.8,47.4,0,3,503,10,0.86,56.69,8
16,5,16.4,4,12.5,21,3.7,34.8,1,4,643,11,3.46,269.08,10
24,14,14.8,1,10.7,21,3.3,29.9,56,3,902,9,3.35,378.28,13
16,7,14.3,1,10.1,25,3.7,19.6,0,3,1164,8,2.36,287.67,6
20,2,14.8,5,9.9,24,3.4,39.6,0,2,335,6,0.65,68.23,15
21,13,15.8,0,12.4,18,3.9,17.6,1,3,605,8,4.85,496.22,15
21,14,14.5,1,11.1,21,4.1,27.7,0,3,473,8,1.49,70.81,8
14,11,16.1,1,13,24,3.8,29.1,1,3,595,10,5.14,533.37,1
20,2,16.5,0,11.4,17,4.2,11,8,3,479,10,0.25,926.36,7
21,5,16.1,1,15.2,20,3.7,40.9,0,3,480,7,0.59,63.75,8
14,13,15.5,3,13.7,19,4,31.7,0,4,1068,10,1.49,144.33,15
16,3,15.6,0,8.9,20,3.5,30,1,3,690,9,2.00,218.71,3
23,7,15.1,3,12.3,26,3.7,31.4,34,3,1203,9,4.44,434.91,10
16,5,16.4,0,12.6,21,3.4,32.8,0,2,972,6,1.13,53.18,12
17,13,14.6,5,6.7,23,4,39.8,0,2,929,6,4.80,336.87,9
12,7,15.3,0,12.6,25,3.7,31.8,3,4,854,10,4.84,608.17,1
21,7,15.3,0,10.2,30,3.7,36.4,0,3,991,9,2.07,263.77,11
